"|","|__tenSp","|__maSp","|__giaSp","|__kichCo","|__chatLieu","|__xuatSu","|__moTa","|__nameImg"
"","Ghế ăn COSSACK","354","699000","D48xW55xH85","Màu đen","Kim loại/ nhựa","Ghế ăn COSSACK đơn sắc với tựa lưng cao ráo thích hợp cho nhiều mục đích sử dụng và phong cách nội thất đa dạng. Thiết kế hiện đại với chân kim loại thanh mảnh nhưng chắc chắn, mặt ghế từ chất liệu PVC bền bỉ và đường cong đẹp mắt, chiếc ghế mang lại cảm giác dễ chịu và thoải mái cho không gian sống của bạn.","ghe-an-cossack-354-1-baya.vn.jpg"
"","Ghế ăn BIANCA","343","499000","D44xW46xH72","Gỗ cao su","Việt Nam","Thiết kế có thể gấp gọn giúp bạn tiết kiệm không gian. Hãy kết hợp chiếc ghế này với bàn ăn BIANCA để có một bộ hoàn chỉnh.","ghe-an-bianca-343-1-baya.vn.jpg"
"","Ghế ăn BAVARIA","341","749000","D38xW42xH45/ 80","Màu trắng","Ván ép","Ghế ăn BAVARIA đơn sắc với tựa lưng cao ráo và khả năng chịu nước tốt thích hợp cho nhiều mục đích sử dụng và phong cách nội thất đa dạng. Thiết kế hiện đại với chân kim loại thanh mảnh nhưng chắc chắn và mặt ghế bằng gỗ đoạn mỏng nhẹ có đường cong đẹp mắt, chiếc ghế mang lại cảm giác dễ chịu và thoải mái cho không gian sống của bạn.","ghe-an-bavaria-341-1-baya.vn.jpg"
"tu_ke","Giá treo quần áo AKIO","1099911• Chất liệu gỗ óc chó cao cấp\n• Thêm kệ mở tiện ích\n• Phong cách Á Đông & Việt Nam đương đại","3990000","D40xW120xH160","Màu gỗ đậm","Gỗ Óc chó/Veneer Óc chó","","akio_clothes_rack_uma_1099911_1.jpg"
"","Kệ giày PILOT","4585","729000","D26xW67xH44","Màu trắng","Gỗ bạch dương","Giá giày PILOT giúp cho nhà bạn thêm ngăn nắp và trang nhã. Thiết kế 2 trong 1 với tầng trên cùng có thể được dùng như ghế thay giày.","ke-giay-pilot-4585-baya.vn.jpg"
"","Kệ TV TREVOR","4161","3990000","D45xW120xH50","Màu trắng","MDF","Kệ TV TREVOR không chỉ hoàn thiện không gian giải trí mà còn giúp bạn lưu trữ nhiều đồ vật hơn với 2 ngăn kéo và 1 ngăn chứa mở. Chân kệ bằng thép để đảm bảo độ vững chắc, mặt sau kệ có các lỗ tròn để bạn luồn dây cáp điện thật gọn gàng. Sản phẩm sẽ hoàn hảo hơn khi kết hợp cùng bàn cà phê TREVOR từ BAYA.","ke-tv-trevor-4161-1-baya.vn.jpg"
"","Kệ giày TOBAGO","2125","799000","72x29xH105","Gỗ thông","Việt Nam","Với chất liệu gỗ thông, bền đẹp thân thiện với môi trường, giá giày TOBAGO rất thích hợp cho việc cất giữ giầy dép một cách ngăn nắp, sạch sẽ và tô điểm thêm màu sắc cho ngôi nhà của bạn đẹp mắt. Các góc cạnh cạnh được gia công kỹ lưỡng, bề mặt nhẵn bóng tạo tính thẩm mỹ cao, thiết kế chắc chắn, có 6 tầng tiện dụng.","ke-giay-tobago-2125-baya.vn.jpg"
"","Ghế dài BANG","2140","649000","D35xW80xH50","Gỗ thông","Việt Nam","Ghế băng dài BANG làm bằng gỗ thông, mặt ghế được thiết kế từ nhiều thanh gỗ ghép lại, kiểu dáng trang nhã sang trọng. Đây là một sản phẩm đa năng đến từ nội thất BAYA với gam màu nâu sáng trang nhã.","ghe-dai-bang-2140-baya.vn.jpg"
"","Kệ giày TOBAGO","2123","699000","72x29xH85","Gỗ thông","Việt Nam","Với chất liệu gỗ thông, bền đẹp thân thiện với môi trường, giá giày TOBAGO rất thích hợp cho việc cất giữ giầy dép một cách ngăn nắp, sạch sẽ và tô điểm thêm màu sắc cho ngôi nhà của bạn đẹp mắt. Các góc cạnh cạnh được gia công kỹ lưỡng, bề mặt nhẵn bóng tạo tính thẩm mỹ cao, thiết kế chắc chắn, có 5 tầng tiện dụng.","ke-giay-tobago-2123-baya.vn.jpg"
"","Kệ giày TOBAGO","2120","599000","72x29xH67","Gỗ thông","Việt Nam","Giá Giày TOBAGO có thiết kế 4 tầng với chiều ngang 72cm, cho sức chứa khoảng 12 đôi giày cùng một lúc. Sản phẩm cho độ bền cao và vẻ đẹp mộc mạc.","ke-giay-tobago-2120-1-baya.vn.jpg"
"","Kệ giày TOBAGO","2117","499000","D29xW72xH47","Gỗ thông","Việt Nam","Với chất liệu gỗ thông, bền đẹp thân thiện với môi trường, giá giày TOBAGO rất thích hợp cho việc cất giữ giầy dép một cách ngăn nắp, sạch sẽ và tô điểm thêm màu sắc cho ngôi nhà của bạn đẹp mắt. Các góc cạnh cạnh được gia công kỹ lưỡng, bề mặt nhẵn bóng tạo tính thẩm mỹ cao, thiết kế chắc chắn, có 3 tầng tiện dụng.","ke-giay-tobago-2117-1-baya.vn.jpg"
"","Kệ giày ROBERT","2109","399000","L65xD29xH29","Màu đen","Gỗ keo/ kim loại","Giá giày ROBERT là giải pháp hoàn hảo cho việc sắp xếp giày một cách ngăn nắp và là điểm nhấn cho không gian sảnh & lối vào. Sản phẩm với kiểu dáng đơn giản, sử dụng chất liệu gỗ tràm keo phủ sơn đen tạo nên sự chắc chắn, bền đẹp trong suốt quá trình sử dụng. Sản phẩm khó dính bẩn mang đến vẻ đẹp sang trọng và tiện nghi cho gia đình bạn.","ke-giay-robert-2109-baya.vn.jpg"
"","Ghế thay giày CATCH","2098","1990000","D39xW109xH44","Gỗ keo/ kim loại","Việt Nam","Sở hữu thiết kế đa năng, ghế thay giày CATCH là giải pháp hoàn hảo cho việc sắp xếp giày một cách ngăn nắp, đồng thời tiết kiệm thời gian, công sức mỗi khi muốn thay một đôi giày ưng ý để ra ngoài. Sản phẩm với kiểu dáng đơn giản, sử dụng chất liệu gỗ keo kết hợp với kim loại cao cấp, tạo nên sự chắc chắn, bền đẹp trong suốt quá trình sử dụng. Ghế thay giày trong gam màu gỗ mộc mạc, khó dính bẩn, hứa hẹn sẽ mang đến không gian sống, sinh hoạt tiện ích, cổ điển, nhưng không kém phần sang trọng.","ghe-thay-giay-catch-2098-baya.vn.jpg"
"","Tủ kính MOZART","1097825","3990000","D35xW50xH180","Màu trắng","MDF/ gỗ cao su","Tủ kính MOZART được thiết kế bởi BAYA sẽ là nơi trưng bày và lưu trữ lý tưởng cho bộ bát đĩa yêu thích hay những vật lưu niệm của bạn. Sản phẩm có khung gỗ chắc chắn, thiết kế có cửa kính gồm nhiều tầng chứa kèm hai ngăn kéo tiện dụng. Mặt trên cùng được giữ lại màu gỗ tự nhiên kết hợp với thân tủ phủ sơn trắng giúp đem lại vẻ đẹp trang nhã, sang trọng cho căn phòng. Hãy bổ sung thêm các món nội thất khác trong bộ sưu tập MOZART từ BAYA cho tổ ấm của mình.","tu-kinh-mozart-1097825-1.jpg"
"","Tủ kính CONNEMARA","1096408","9990000","D35xW60xH180","Màu đen","Thép sơn tĩnh điện","Tủ kính CONNEMARA - một thiết kế đặc biệt của BAYA là nơi bạn sắp xếp chai rượu, khung ảnh… hay vật dụng bàn ăn. Khung tủ làm từ thép sơn tĩnh điện bền chắc và kính cao cấp, các chi tiết bo tròn với màu đen mờ và vàng đồng sáng là điểm nhấn bắt mắt. Lưng tủ bằng gương đem lại vẻ đẹp sang trọng, hiện đại và cảm giác rộng rãi cho không gian.","CONNEMARA_Glass_cabinet_UMA_1096408_1.jpg.jpg"
"guong","Gương treo tường CATCH","3479","249000","W40xH60","Gỗ keo","Việt Nam","Được thiết kế đơn giản và tự nhiên với chất liệu gỗ keo bền chắc, gương treo tường CATCH mang lại nét hiện đại, trang nhã cho không gian sống của bạn. Sản phẩm có thể đặt tại nhiều khu vực như sảnh và lối vào, phòng ngủ, phòng tắm… thuận tiện cho việc nhìn ngắm mình trong gương của chủ nhân và trang trí cho ngôi nhà thêm cảm hứng.","guong-treo-tuong-catch-3479-baya.vn.jpg"
"","Gương đứng ALI","3475","1690000","W53xH150","Gỗ thông","Việt Nam","Gương đứng soi được toàn thân với khung gỗ thông tự nhiên đẹp mắt, chắc chắn. Hãy bổ sung thêm các món nội thất khác trong bộ sưu tập ALI từ gỗ thông dành cho tổ ấm của bạn.","guong-dung-ali-3475-1-baya.vn.jpg"
"","Gương treo tường BERNIE","1098365","349000","W54xH44","Màu gỗ sáng","MFC","Được thiết kế đơn giản, chất liệu MFC chắc chắn với màu gỗ tự nhiên tươi sáng, gương treo tường BERNIE mang lại nét trang nhã và sang trọng cho không gian sống của bạn. Sản phẩm có thể đặt tại nhiều khu vực như sảnh và lối vào, phòng ngủ, phòng tắm… thuận tiện cho việc nhìn ngắm mình trong gương của chủ nhân và trang trí cho ngôi nhà thêm cảm hứng.","BERNIE_Wall_mirror_UMA_1098365_1.jpg"
"","Gương treo tường ALBANY","1089219","1590000","W100xH70","Màu gỗ đậm","Sồi veneer / Sồi / MDF","Chiếc gương treo tường ALBANY được làm từ chất liệu gỗ sồi tự nhiên và MDF được phủ lớp veneer cao cấp, tạo độ bền cho sản phẩm. Thiết kế gương hình chữ nhật đơn giản, sang trọng và tinh tế. Bạn có thể treo gương lên tường tạo điểm nhấn hoặc kết hợp cùng tủ trong bộ sưu tập ALBANY để tăng thêm tính thẩm mỹ cho không gian sống.","ALBANY_Wall_mirror_Oak_veneer_Oak_MDF_Dark_UMA_1089219.jpg.jpg"
"","Gương treo tường GUARDIA","1078428","449000","D1.5xW40xH40","Màu trắng","Gỗ keo","Là một thiết kế của nội thất BAYA, gương treo tường GUARDIA ghi điểm với thiết kế đơn giản đầy tinh tế. Phần khung được làm từ gỗ keo chắc chắn, gương dày dặn, cho độ bền cao. Sản phẩm thích hợp với nhiều không gian nội thất khác nhau, từ hiện đại cho đến cổ điển.","GUARDIA_Wall_Mirror_Acacia_White_UMA_1078428_front.jpg.jpg"
"","Gương đứng GUARDIA","1073560","1590000","D6xW40xH150","Gỗ keo","Việt Nam","Gương đứng GUARDIA với khung làm từ gỗ keo tự nhiên bền chắc mang lại nét đẹp gần gũi, hiện đại cho ngôi nhà bạn. Gương soi được toàn thân, thích hợp đặt tại sảnh và lối vào cũng như trong phòng ngủ. Giá đỡ gấp gọn được, giúp tiết kiệm diện tích khi không sử dụng. Kệ nhỏ phía sau cho bạn thoải mái sắp xếp các vật dụng như xi đánh giày, áo mưa, mũ…","GUARDIA_Standing_Mirror_Acacia_UMA_1073560_corner_1.jpg"
"","Gương treo tường GUARDIA","1073546","449000","D1.5xW40xH40","Gỗ keo","Việt Nam","Là một thiết kế của nội thất BAYA, gương treo tường GUARDIA ghi điểm với thiết kế đơn giản đầy tinh tế. Phần khung được làm từ gỗ keo chắc chắn, gương dày dặn, cho độ bền cao. Sản phẩm thích hợp với nhiều không gian nội thất khác nhau, từ hiện đại cho đến cổ điển.","GUARDIA_Wall_Mirror_Acacia_UMA_1073546_front.jpg"
"","Gương đứng KITKA","1064384","2490000","D40xW56xH165","Màu gỗ đậm","MDF/ gỗ cao su","Gương đứng KITKA mang lại nét đẹp cổ điển cho không gian với tông màu nâu trầm và thiết kế theo phong cách retro. Gương cao 165cm, có thể thoải mái điều chỉnh độ nghiêng. Kết hợp cùng các sản phẩm khác trong bộ sưu tập KITKA đến từ BAYA để hoàn thiện việc bày trí nội thất cho ngôi nhà bạn.","KITKA_Standing_Mirror_MDF_Rubber_wood_Walnut_UMA_1064384_corner.jpg.jpg"
"","Gương treo tường KITKA","1064360","899000","D10xW50xH55","Màu gỗ đậm","MDF/ gỗ cao su","Gương treo tường KITKA đơn giản mang đến phong cách hiện đại cho bất kỳ không gian nào của gia đình bạn. Sản phẩm có khung làm từ gỗ cao su chắc chắn, giữ cho gương luôn được cố định vị trí. Đặt gương vào vị trí phù hợp, bạn có thể thoải mái bổ sung các vật dụng khác để hoàn thiện căn phòng.","KITKA_Wall_Mirror_with_Shelf_MDF_Rubber_wood_Walnut_UMA_1064360_corner.jpg.jpg"
"","Gương đứng MOZART","1048513","1590000","D5xW50xH150","Màu trắng","MDF/ gỗ cao su","Gương đứng MOZART do BAYA thiết kế sẽ đem đến vẻ đẹp trang nhã, sang trọng cho không gian nội thất. Sản phẩm có thể gấp gọn và dễ di chuyển, giúp bạn tiết kiệm diện tích phòng thật hiệu quả. Hãy khám phá thêm các món nội thất còn lại trong bộ sưu tập MOZART bằng gỗ cao su từ BAYA.","mozart_standing_mirror_mdf_rubber_wood_white_uma_1048513_corner.jpg"
"","Gương treo tường MOZART","1048506","699000","D3xW50xH65","Màu trắng","MDF/ gỗ cao su","Gương gắn tường từ bộ sưu tập MOZART do BAYA thiết kế sẽ đem đến nét thanh lịch và sang trọng cho không gian sống của bạn. Sản phẩm từ gỗ cao su bền bỉ và giúp bạn tiết kiệm không gian thật hiệu quả. Hãy khám phá trọn bộ sưu tập MOZART để chọn cho tổ ấm những món nội thất thật đẹp.","MOZART_Wall_mirror_MDF_Rubber_wood_White_UMA_1048506.jpg.jpg"
"","Gương để bàn trang điểm HARRIS","1032406","999000","D9xW55xH59","Sồi veneer / Sồi / MDF","Việt Nam","Gương HARRIS từ gỗ sồi sẽ giúp góc làm đẹp của bạn thêm sang trọng, ấn tượng. Sẽ hoàn hảo hơn khi kết hợp chiếc gương này cùng bàn trang điểm HARRIS. Hãy bổ sung thêm các món nội thất khác trong bộ sưu tập ALI từ gỗ sồi để hoàn thiện không gian sống thật đẹp và tiện nghi của bạn.","guong-de-ban-trang-diem-harris-1032406-1-baya.vn.jpg"
"san_pham_gan_tuong","Kệ trưng bày NIKKI","4688","899000","D20xW130xH56","Màu đen","Gỗ keo","Thoải mái sắp xếp các vật dụng cần thiết với giá để đồ NIKKI từ nội thất BAYA. Giá được làm từ chất liệu gỗ keo chắc chắn, phủ sơn đen sang trọng, chia thành 2 tầng để dễ dàng sử dụng. Kết hợp giá cùng các sản phẩm khác trong cùng bộ sưu tập NIKKI để hoàn thiện nội thất.","ke-trung-bay-nikki-4688-baya.vn.jpg"
"","Kệ trưng bày NIKKI","4687","799000","D20xW130xH56","Gỗ keo","Việt Nam","Kệ NIKKI với độ rộng lý tưởng để bạn dùng làm kệ sách hoặc trưng bày đồ vật trong nhà. Sản phẩm dễ lắp đặt, cho độ bền cao và có 2 phiên bản màu (màu gỗ tự nhiên và màu đen).","ke-trung-bay-nikki-4687-baya.vn.jpg"
"","Kệ trang trí LOKA","2411","199000","D12xW80xH3/ 5","Màu trắng","MDF","Kệ gỗ LOKA cung cấp thêm không gian trưng bày và lưu trữ cho tổ ấm. Sản phẩm dễ lắp đặt và có độ bền cao. Hãy khám phá trọn bộ sưu tập kệ LOKA từ BAYA với nhiều màu sắc và kích thước.","ke-trang-tri-loka-2411-baya.vn.jpg"
"","Kệ trang trí LOKA","2404","199000","D12xW80xH3/ 5","Gỗ keo","Việt Nam","Kệ gỗ LOKA cung cấp thêm không gian trưng bày và lưu trữ cho tổ ấm. Sản phẩm dễ lắp đặt và có độ bền cao nhờ chất liệu gỗ keo tự nhiên. Hãy khám phá trọn bộ sưu tập kệ LOKA từ BAYA với nhiều màu sắc và kích thước.","ke-trang-tri-loka-2404-1-baya.vn.jpg"
"","Kệ trang trí LOKA","2397","99000","D12xW40xH3/ 5","Gỗ keo","Việt Nam","Kệ gỗ LOKA cung cấp thêm không gian trưng bày và lưu trữ cho tổ ấm. Sản phẩm dễ lắp đặt và có độ bền cao nhờ chất liệu gỗ keo tự nhiên. Hãy khám phá trọn bộ sưu tập kệ LOKA từ BAYA với nhiều màu sắc và kích thước.","ke-trang-tri-loka-2397-1-baya.vn.jpg"
"","Wall-shelf-brackets LOKKO","2395","69000","W17.5xH22.5","Màu trắng","Gỗ keo","Giá đỡ kệ LOKKO được làm từ gỗ keo bền chắc mang lại nét đẹp mộc mạc và khác biệt so với các loại giá đỡ bằng nhựa hay kim loại. Cố định sản phẩm trên tường nơi bạn muốn gắn kệ, đặt mặt ván lên giá đỡ là bạn đã có ngay một chiếc kệ sách, kệ gia vị hay kệ trang trí mà không mất quá nhiều thời gian hay công sức.","tay-do-lokko-2395-baya.vn.jpg"
"","Wall-shelf-brackets LOKKO","2394","69000","W17.5xH22.5","Gỗ keo","Việt Nam","Giá đỡ kệ LOKKO được làm từ gỗ keo bền chắc mang lại nét đẹp mộc mạc và khác biệt so với các loại giá đỡ bằng nhựa hay kim loại. Cố định sản phẩm trên tường nơi bạn muốn gắn kệ, đặt mặt ván lên giá đỡ là bạn đã có ngay một chiếc kệ sách, kệ gia vị hay kệ trang trí mà không mất quá nhiều thời gian hay công sức.","tay-do-lokko-2394-baya.vn.jpg"
"","Kệ gắn tường CATCH","2389","699000","78x19xH71","Gỗ keo","Việt Nam","Kệ gắn tường 3 tầng với thiết kế cơ bản, thuần chức năng nhưng không kém phần đẹp mắt và hiện đại nhờ gỗ keo kết hợp các chi tiết kim loại. Sản phẩm có độ bền cao và dễ lắp đặt. Hãy bổ sung trọn bộ sưu tập nội thất bằng gỗ keo CATCH từ BAYA dành cho sảnh và lối vào.","ke-gan-tuong-catch-2389-1-baya.vn.jpg"
"","Móc treo đồ GUARDIA","2068","89000","35x4xH6","Gỗ keo","Việt Nam","Móc treo đồ GUARDIA có thiết kế đơn giản và thiết thực, dễ lắp đặt. Chất liệu gỗ keo đã qua xử lý đem đến độ bền cao và vẻ ngoài đẹp mắt.","moc-treo-do-guardia-2068-1-baya.vn.jpg"
"","Móc treo đồ CATCH","2059","89000","30x4xH6","Gỗ keo","Việt Nam","Móc treo đồ tiện ích CATCH có thiết kế gọn nhẹ và dễ lắp đặt, giúp hoàn thiện nội thất ngôi nhà hiện đại ngay từ sảnh và lối vào. Sản phẩm được làm từ gỗ keo với 3 đầu móc kim loại phủ sơn cho độ bền cao, dễ sử dụng và vẻ ngoài đẹp mắt.","moc-treo-do-catch-2059-1-baya.vn.jpg"
"","Kệ trang trí CONNEMARA","1096286","299000","D10xW60xH5","Màu đen","Thép sơn tĩnh điện","Kệ trưng bày CONNEMARA - một thiết kế đặc biệt của BAYA là nơi bạn sắp xếp những vật dụng yêu thích như khung hình, ly rượu và các phụ kiện khác. Khung kệ làm từ thép sơn tĩnh điện bền chắc, đường bo cạnh và vít trang trí với màu đen mờ phối vàng đồng sáng là điểm nhấn bắt mắt đem lại vẻ đẹp sang trọng, hiện đại cho không gian.","CONNEMARA_Art_shelf_UMA_1096286_1.jpg"
"","Móc treo đồ CONNEMARA","1096248","449000","D3.5xW60xH7","Màu đen","Thép sơn tĩnh điện","Giá treo CONNEMARA - một thiết kế đặc biệt của BAYA là nơi bạn sắp xếp những phụ kiện cần thiết phù hợp với mọi không gian. Sản phẩm làm từ thép sơn tĩnh điện bền chắc, đường bo cạnh và móc treo với màu đen mờ phối vàng đồng sáng là điểm nhấn bắt mắt đem lại vẻ đẹp sang trọng, hiện đại cho ngôi nhà bạn.","CONNEMARA_Knob_rack_UMA_1096248_1.jpg"
"noi_that_cho_be","Bộ bàn ghế trẻ em PIGLET","5048Sản phẩm gồm:• 01 x Bàn trẻ em PIGLET.• 02 x Ghế trẻ em PIGLET.","12900001,897,000","Màu trắng","Gỗ cao su","Việt Nam","","5048.jpg"
"","Bàn trẻ em KID","2196","999000","L70xW47xH55","Gỗ cao su","Việt Nam","Bàn trẻ em KID được thiết kế đơn giản trên gam màu gỗ sáng trang nhã đem lại vẻ đẹp mộc mạc và cảm giác dễ chịu cho không gian riêng của trẻ. Chất liệu gỗ cao su bền chắc, được đánh bóng bề mặt cho vẻ ngoài nhẵn đẹp, hạn chế vết bẩn và trầy xước. Chiếc bàn vừa là nơi con học bài, vừa có thể thư giãn với những món đồ chơi ưa thích.","ban-tre-em-kid-2196-1-baya.vn.jpg"
"","Bàn trẻ em PIGLET","2200","899000","L58xW58xH53","Màu trắng","Gỗ cao su","Bàn trẻ em PIGLET của nội thất BAYA làm từ gỗ cao su, thân bàn sơn trắng phối mặt bàn màu gỗ tự nhiên. Sản phẩm thiết kế an toàn, các góc cạnh bo tròn, chiều cao phù hợp với bé. Ba mẹ hoàn toàn có thể yên tâm khi chọn mua bàn trẻ em PIGLET.","ban-tre-em-piglet-2200-baya.vn.jpg"
"","Bàn TINTIN","2203","699000","H51xDia68","Gỗ bạch dương ép","Trung Quốc","Bàn tròn TINTIN được thiết kế theo phong cách tối giản, nổi bật với gam màu gỗ tự nhiên đẹp mắt. Sản phẩm được làm từ gỗ bạch dương chống ẩm tốt, có độ bền lâu dài. Hãy kết hợp chung với những món nội thất khác trong bộ sưu tập TINTIN từ BAYA để hoàn thiện phong cách nội thất của mình.","ban-tintin-2203-1-baya.vn.jpg"
"","Ghế trẻ em PIGLET","2224","499000","D28.5xW35xH64.5","Màu trắng","Gỗ cao su","Ghế ăn trẻ em PIGLET của nội thất BAYA làm từ gỗ cao su, thân ghế sơn trắng phối mặt ghế màu gỗ tự nhiên. Sản phẩm thiết kế an toàn, các góc cạnh bo tròn, chiều cao phù hợp với bé. Ba mẹ hoàn toàn có thể yên tâm khi chọn mua ghế ăn trẻ em PIGLET.","ghe-tre-em-piglet-2224-baya.vn.jpg"
"","Ghế trẻ em KID","2219","599000","D30xW35xH60","Gỗ cao su","Việt Nam","Đến với nội thất BAYA, chọn về cho bé ghế ăn trẻ em KID từ gỗ cao su bền chắc. Sản phẩm có thiết kế đẹp mắt và vững chãi, giữ nguyên màu gỗ tự nhiên, điểm nhấn làm đẹp gian phòng. Bạn có thể kết hợp cùng các sản phẩm trong cùng bộ sưu tập KID để hoàn thiện không gian sống của mình.","ghe-tre-em-kid-2219-1-baya.vn.jpg"
"","Ghế bành trẻ em VIKING-JUNIOR","4673","699000","D50xW43.5xH63","Màu đỏ","Gỗ bạch dương ép","Chiếc ghế bành trẻ em VIKING JUNIOR mang thiết kế tạo sự thoải mái cho người ngồi với khung gỗ chắc chắn và đệm ngồi êm ái. Vỏ bọc đệm ngồi đi kèm dây kéo nên bạn có thể tháo ra để làm vệ sinh. Đệm ngồi có màu sắc sinh động, khiến trẻ vô cùng thích thú.","ghe-banh-tre-em-viking-junior-4673-1-baya.vn.jpg"
"","Ghế bành trẻ em TINTIN","1061604","699000","D53xW55xH67","Màu đỏ","Gỗ bạch dương ép","","tintin_children_armchair_uma_1061604_1.jpg"
"","Ghế trẻ em KID","KID_Children-chair","599000599000","","","","","logo-baya_4.jpg"
"","Bàn trẻ em KID","KID_Children-table","999000999000","","","","","logo-baya_4.jpg"
"","Ghế trẻ em HAPPY","HAPPY_Children-chair","899000899000","","","","","logo-baya_4.jpg"
"","Ghế trẻ em HAPPY","2209","799000","D32xW35xH78","Gỗ keo","Việt Nam","","happy_children_chair_natural_narce_wood_uma_2209_corner.jpg"
